,PCCL3Ctrl_mean,PCCL3Ctrl_std,PCCL3Ctrl_n,PCCL3TSH0_mean,PCCL3TSH0_std,PCCL3TSH0_n,PCCL3TSH24_mean,PCCL3TSH24_std,PCCL3TSH24_n,PCCL3TSH48_mean,PCCL3TSH48_std,PCCL3TSH48_n,minuslog10_pvalue,fold_change,log2_fold_change
PI(34:1),0.0007634668457789444,0.00010591688292600856,3,0.0004480314457718356,3.0174263804278406e-05,3,0.0013486472276427821,0.0003646823668217727,3,0.0006719403278549864,2.8317604338607542e-05,3,3.1414443364666207,1.4997615328036118,0.5847331255267573
PI(38:4),0.0024468748024864006,9.565471330849951e-05,3,0.0028721598053746563,0.00014725367806661958,3,0.0017690925257241212,0.0003758769244405423,3,0.0011856350648034178,5.3177364654832815e-05,3,4.3135944771909,0.4128026102812057,-1.2764760014812233
PI(38:6),8.293867197802021e-05,2.9177454580073234e-06,3,5.391198134001456e-05,3.202528465546972e-06,3,7.459662354959999e-05,9.200679550924072e-06,3,2.2858213545455475e-05,7.168309101734932e-07,3,4.0908166063062685,0.423991346214717,-1.237893275618984
PI(40:6),0.00012551558980984978,3.3091353651417993e-06,3,0.00013792663967504646,3.621002337979165e-06,3,0.00013976407359462636,2.2044497686994546e-05,3,7.640350949524755e-05,3.129181878337694e-06,3,4.6182609384454665,0.5539430937725541,-0.8521903181597266
PI(40:7),2.379906397719657e-05,6.222519703935247e-07,3,2.675208829049071e-05,2.5372433200203475e-06,3,2.7579544439499765e-05,4.124033466590309e-06,3,8.594228318186e-06,1.2367697243015692e-06,3,3.4327065771103706,0.3212544839440031,-1.6382115038691547
PI(32:1),5.173683273789619e-05,1.4625489860473423e-05,3,3.16638077135625e-05,1.054745822557509e-06,3,0.00018151779561933893,3.642744856823377e-05,3,5.235777833661438e-05,9.335912961080255e-07,3,4.848805793787549,1.653552813680967,0.7255691252501095
PI(34:2),0.000628920940125418,4.7135131740414905e-05,3,0.0003780346401683591,3.192571689452046e-05,3,0.0008879605447079305,0.00017152865618831433,3,0.0007112142464004075,1.681222022506457e-05,3,4.048882878935915,1.8813467625180214,0.9117657853088146
PI(33:1),1.8234546904934658e-05,5.2618218079496105e-06,3,2.6778671388914197e-05,2.4779608749236454e-06,3,2.289523806796723e-05,4.289338792112797e-06,3,1.8470797225994402e-05,7.441624114405416e-07,3,2.2909200488459693,0.6897577911068777,-0.5358382473642342
PI(35:2),5.487481494624293e-05,3.513408889130429e-06,3,2.3150217438528754e-05,2.1956627546793008e-07,3,3.395725698417327e-05,1.0227168099333736e-05,3,2.656036401660308e-05,3.029282266586727e-07,3,4.0266114702507725,1.147305164071541,0.1982491752567343
PI(34:3),4.2303986482322205e-05,1.9803232634643834e-06,3,2.238858869616652e-05,7.605292405641678e-07,3,7.227325275045971e-05,7.412447258944596e-06,3,4.3612465129189594e-05,3.1040137871544615e-06,3,3.48662861642576,1.9479774147915416,0.961976950645548
PI(36:1),0.0009168371821442579,5.3570543434133e-05,3,0.00044871481478286765,3.67823835417592e-05,3,0.001419237377491411,0.0005263824996237026,3,0.0014028222231572821,9.783530529876348e-05,3,4.029156222767836,3.126311360671489,1.6444614687173886
PI(36:2),0.003974473573111668,7.976700221085328e-05,3,0.0033051299644508026,0.0002677587679488603,3,0.004107657920105779,0.0010633916566087968,3,0.005890203828581142,0.00020364911154607197,3,3.734707333904913,1.7821398528756156,0.833610556350953
PI(36:4),0.00028326756914000533,1.5146517597445346e-05,3,0.00021937822519359413,1.3189793749096829e-05,3,0.0002763696234385561,3.8262043806184944e-05,3,0.00012508711449345602,3.9497746070575506e-06,3,3.5387315054825788,0.5701892901315557,-0.8104871535055708
PI(36:3),0.001332660931713551,9.581038164021944e-06,3,0.001060818408583853,7.78092867614145e-05,3,0.0014097747719618106,0.00025598811174411956,3,0.0013797833381255801,4.988012108750865e-05,3,2.404892229201462,1.3006781622196126,0.379264027997648
PI(37:2),0.00023447470666717023,1.7383687886048005e-05,3,0.00014170304221329877,1.211163131540153e-05,3,0.00013041859237575276,4.456121758409551e-05,3,0.00014892393583892209,1.0343416187000074e-05,3,0.3222045277775816,1.0509579294335407,0.07170491838437949
PI(37:3),0.00015422447560743379,4.638652172100757e-06,3,0.00014721834699917688,1.4801156228907665e-05,3,0.00010302739877241804,2.6918005751504815e-05,3,7.572464849227378e-05,2.4517473103630566e-06,3,2.929815860581887,0.5143696423428608,-0.9591225963385481
