Lipid identifier	01PCCL3Ctrl	02PCCL3Ctrl	03PCCL3Ctrl	04PCCL3TSH0	05PCCL3TSH0	06PCCL3TSH0	07PCCL3TSH24h	08PCCL3TSH24h	09PCCL3TSH24h	10PCCL3TSH48h	11PCCL3TSH48h	12PCCL3TSH48h	13Blank	14BlankStdrmix
4010060_32:2_NH4 1	0	0	0	0	0	0	0	0	341086.59375	0	288627.921875	262648.3046875	0	0
4010066_34:2_NH4 1	1992576.78125	1305705.765625	1596191.796875	1027474.484375	1133062.71875	1045674.796875	2131829.84375	1888885.46875	3136529.5625	2344016.5625	3490512.40625	3348866.875	0	0
4010089_35:1_NH4 1	0	0	286518.18359375	0	0	0	0	0	0	0	0	0	0	0
4010136_36:3_NH4 1	873960.53125	0	0	0	543945.2265625	0	0	451498.6015625	602116.6796875	0	0	0	0	0
4010199_38:1_NH4 1	362980.44140625	0	0	293119.107421875	0	0	384314.421875	335394.37890625	0	333259.8828125	572149.796875	353064.70703125	0	0
4010200_38:2_NH4 1	0	0	328074.87109375	0	370163.8994140625	0	484047.9375	0	0	400118.1787109375	558227.984375	0	0	0
4010850_34:0_NH4 1	1785607.046875	450938.5556640625	777552.6328125	0	454701.3994140625	444220.0185546875	4221560.71875	3196738.74609375	8618464.53125	1029250.748046875	2005815.09765625	1649660.859375	0	0
EX4010033_36:2_NH4 1	4564119.1875	2641974.1875	3565603.9375	2828154.65625	4060906.625	3129344.0	4274993.4375	3798177.1875	6517555.65625	3591700.375	6198404.0625	5646026.671875	0	0
PGOTheo_32:4_NH4 1	0	0	0	0	0	0	0	0	0	0	0	0	0	110217.658203125
PGOTheo_33:7_NH4 1	0	0	0	0	0	0	0	0	0	0	0	0	0	152151.0948893229
PGOTheo_34:7_NH4 1	0	0	0	0	0	0	0	0	0	0	0	0	0	105228.595703125
PGOTheo_36:7_NH4 1	0	0	0	0	0	0	262450.90234375	339777.9501953125	0	308824.6328125	302795.248046875	390872.322265625	0	0
PGdOTheo_34:5_NH4 1	0	0	0	0	0	0	0	0	0	0	0	304433.349609375	0	0
PGdOTheo_36:8_NH4 1	0	0	0	0	0	0	0	0	0	239658.681640625	240458.77587890625	299439.54296875	0	0
6010001_34:1_NH4 1	19340022.6875	12710509.09375	15934872.21875	8986631.984375	10337105.3125	10203054.0	32337238.0	30105124.625	30178519.8125	11969557.125	15074412.1875	13737712.53125	0	0
6010007_32:0_NH4 1	0	0	0	0	0	0	288908.01318359375	0	0	0	0	0	0	0
6010010_38:4_NH4 1	52470684.0	47929381.5625	52214983.0	59091435.0	64045649.0	66113145.0	38770675.5	40576094.0	43630658.84375	21278522.984375	25156786.0	25433191.71875	0	0
6010011_38:6_NH4 1	1921142.5625	1557293.08203125	1709818.359375	1111423.65625	1179931.9375	1260748.953125	1581548.84375	1613428.375	2085367.2421875	396671.671875	490178.7685546875	502261.3515625	0	0
6010012_40:6_NH4 1	2775832.34375	2398361.03125	2664605.03125	2994545.8125	2979691.25	3111496.859375	3073217.890625	3033749.7890625	3713461.015625	1276061.21875	1665900.703125	1714433.99609375	0	0
6010013_40:7_NH4 1	527764.765625	476919.109375	480448.28125	617711.1953125	528211.5234375	615518.65625	608817.1328125	591337.3515625	740996.2939453125	172058.7080078125	0	0	0	0
6010027_32:1_NH4 1	1534324.78125	817559.109375	920181.0263671875	666451.2734375	725911.775390625	694036.0859375	4233755.3671875	3871537.2421875	4548126.078125	881266.955078125	1173684.990234375	1135442.8486328125	0	0
6010028_32:2_NH4 1	0	0	0	0	0	0	511558.234375	402327.5078125	677252.125	0	0	0	0	0
6010034_34:2_NH4 1	14499695.0	11197646.125	13675432.5625	7435866.71875	8639482.75	8839122.90625	20005317.0	19529600.25	22404953.0	12454943.8125	15922381.65625	14839760.25	0	0
6010051_33:1_NH4 1	324503.228515625	472075.9716796875	328725.076171875	546566.546875	656723.61328125	561773.736328125	505240.748046875	510156.916015625	583730.6098632812	307243.779296875	405071.3447265625	413775.55908203125	0	621292.1440429688
6010057_35:1_NH4 1	432008.39453125	280133.95361328125	407535.451171875	0	0	0	591098.255859375	491595.6796875	421612.359375	0	0	0	0	0
6010058_35:2_NH4 1	1277512.68359375	989289.421875	1168825.96875	0	512943.64453125	503755.73046875	758199.1953125	830672.5234375	729826.8876953125	457233.224609375	596431.513671875	562298.353515625	0	0
6010072_34:3_NH4 1	983585.390625	780663.8671875	883182.0078125	498170.7734375	476895.390625	499570.9375	1604112.296875	1452370.25	2087936.4375	687871.9609375	1007057.359375	975043.34375	0	0
6010074_36:1_NH4 1	21823567.4375	17629773.0	17921855.875	9283761.25	10887207.40625	9402888.3125	35591480.375	33432292.75	26380667.3125	25680710.0	31430580.0	27856955.0	0	0
6010075_36:2_NH4 1	87540708.375	76846415.5	83748681.75	65163055.25	76921149.5	75752316.0	96234327.0	92908946.0	93523549.0	105097218.25	129662621.25	122599801.5	0	0
6010076_36:4_NH4 1	6540035.921875	5173479.3125	6013196.11328125	4684380.0625	4624674.9375	5141934.625	5897841.2578125	6034985.1875	7570006.7890625	2195064.96875	2679118.90625	2721321.03125	0	0
6010104_36:3_NH4 1	29685977.0	25847812.140625	27689060.0	21235403.25	23858358.0	24812597.671875	30997551.0	31333742.0	36253552.0	24698472.015625	29965765.5	29013277.5	0	0
6010105_36:5_NH4 1	864884.9921875	711810.4765625	832242.6484375	288445.6279296875	288363.6484375	0	521052.87109375	550212.171875	717815.9296875	0	0	0	0	0
6010126_37:2_NH4 1	4818341.28125	4651385.71875	5134737.78125	2784061.6796875	3347343.1015625	3208590.34375	3021064.6328125	3216353.7421875	2585900.28125	2758003.1015625	3124440.015625	3122392.3203125	0	0
6010157_37:3_NH4 1	3341211.90625	3014987.421875	3266046.75	2839967.890625	3372384.7109375	3490736.65625	2102226.62890625	2560596.625	2464722.359375	1290612.15625	1742996.9140625	1578291.140625	0	0
6010167_38:1_NH4 1	0	0	1039726.0234375	0	0	0	3999334.484375	2332582.34375	0	1769270.171875	1845808.3671875	1647264.8046875	0	0
6010168_38:2_NH4 1	44372584.375	42188230.0	47188940.625	36446695.0	46507649.0	45872091.875	43936294.875	43006606.125	35876088.0	49210737.125	55558317.25	52630036.25	0	0
6010192_38:3_NH4 1	108800998.0	97240111.875	114439931.0	131842864.5	156652614.0	164027468.0	93398037.5	91079879.25	85222882.0	80728384.0	98581397.0	84909918.5	0	0
6010193_38:5_NH4 1	12603868.75	11354427.9765625	11781684.375	8819099.890625	9141532.0	9243696.0	9510791.9765625	10065363.046875	11827609.875	3604115.26171875	4128340.7109375	4029934.234375	0	0
6010214_39:2_NH4 1	0	302691.94921875	398990.97265625	0	0	0	275611.1123046875	0	0	186786.03271484375	244691.4501953125	0	0	0
6010215_39:4_NH4 1	547908.5234375	532912.3515625	620374.1953125	555795.828125	554045.390625	616710.921875	407127.890625	454395.96875	454657.50390625	169609.943359375	0	265477.75	0	0
6010243_39:3_NH4 1	1334454.9140625	1395939.015625	1556836.4765625	1334158.958984375	1608286.51171875	1634797.955078125	980099.61328125	1060083.328125	847493.83203125	641984.42578125	777146.26171875	704785.0625	0	0
6010289_40:2_NH4 1	1393880.333984375	1161698.75	1410808.94921875	1190392.220703125	1405793.94921875	1386528.15625	2036349.046875	1952041.69140625	1426027.71875	1715847.8359375	1781683.75	1672964.24609375	0	0
6010306_40:3_NH4 1	4292293.1015625	4344915.3125	4533863.6875	5400408.328125	5897731.296875	6092442.921875	5008809.234375	5239809.046875	3723627.9921875	3825300.6875	4420660.296875	3746818.7265625	0	0
6010307_40:5_NH4 1	4198120.96875	3493482.625	3957924.234375	3774618.046875	3883037.25	4328557.375	3073545.5	3014283.875	2991271.9375	1287508.35546875	1453403.640625	1484782.4375	0	0
6010332_40:4_NH4 1	3782237.6875	3336122.0	3640373.796875	4308714.0	4826415.375	4907016.4375	4152146.1875	4264345.1171875	4326497.375	2275061.75	2498603.34375	2588436.78125	0	0
6010523_42:3_NH4 1	0	0	0	0	261838.7314453125	0	0	0	0	0	0	0	0	0
6010525_42:7_NH4 1	0	0	0	0	0	0	0	244472.88671875	0	0	0	0	0	0
6010555_42:6_NH4 1	430242.86328125	457448.890625	443199.9453125	368906.03515625	0	366623.1943359375	0	391697.07421875	0	0	0	0	0	0
6020018_38:4_NH4 1	0	0	0	0	0	0	306569.09375	355029.8046875	0	0	0	0	0	0
6020030_36:3_NH4 1	0	0	0	471180.4091796875	475696.45703125	433774.162109375	566733.099609375	585911.087890625	0	286098.943359375	319609.4853515625	342400.06640625	0	0
6020037_38:3_NH4 1	0	0	0	0	318860.09228515625	0	424271.765625	421473.0419921875	0	0	0	0	0	0
6030021_36:2_NH4 1	0	0	0	471180.4091796875	475696.45703125	433774.162109375	566733.099609375	585911.087890625	0	286098.943359375	319609.4853515625	342400.06640625	0	0
6030027_38:2_NH4 1	0	0	0	0	318860.09228515625	0	424271.765625	421473.0419921875	0	0	0	0	0	0
6030050_38:3_NH4 1	0	0	0	0	0	0	306569.09375	355029.8046875	0	0	0	0	0	0
IS6010004_37:4_NH4 1	330228.82421875	293612.486328125	322287.298828125	278593.35546875	273695.1845703125	0	391212.91015625	367074.796875	0	0	0	0	0	0
IS6010006_31:1_NH4 1	30615222.0625	47804815.0	27067791.4375	56596944.625	63016209.75	61580489.5	46260688.5	42215222.375	50572966.5	30748492.3125	42974690.875	41188078.25	0	34430485.125
PIOTheo_32:3_NH4 1	0	0	0	230867.412109375	0	0	0	0	0	0	0	0	0	0
PIOTheo_32:7_NH4 1	0	0	0	0	0	0	0	0	0	0	0	0	0	66236.859375
PITheo_57:12_NH4 1	0	0	0	0	0	0	0	0	0	0	0	309687.80859375	0	0
PITheo_59:11_NH4 1	0	0	0	0	0	0	0	0	0	190044.294921875	0	0	0	0
PITheo_59:12_NH4 1	438671.287109375	345564.63671875	550932.0732421875	0	0	0	340355.3046875	367476.607421875	0	655977.3994140625	728018.58984375	764374.9609375	0	0
PIdOTheo_34:6_NH4 1	318038.03271484375	261052.966796875	0	434457.4189453125	330339.88037109375	0	0	0	0	0	0	0	0	0
10010012_32:0_NH4 1	5048492.1328125	506312.5732421875	601234.8969726562	0	0	0	24905305.125	17116538.75	31792157.5	3567278.078125	4685657.8671875	5138383.421875	0	0
10010019_32:1_NH4 1	1881367.53125	2806732.6875	1941839.4609375	0	0	0	1854456.5	1602272.203125	12064273.5	321831.099609375	563548.875	440352.052734375	0	0
10010023_34:2_NH4 1	0	0	0	0	0	0	0	0	3841590.6875	0	0	0	0	0
