lipid class;#db bonds;01PCCL3Ctrl;02PCCL3Ctrl;03PCCL3Ctrl;04PCCL3TSH0;05PCCL3TSH0;06PCCL3TSH0;07PCCL3TSH24h;08PCCL3TSH24h;09PCCL3TSH24h;10PCCL3TSH48h;11PCCL3TSH48h;12PCCL3TSH48h;13Blank;14BlankStdrmix
GP04_LBPA;12;0.00E+00;6.27E+05;2.73E+05;8.79E+05;9.03E+05;8.32E+05;3.40E+05;5.44E+05;0.00E+00;5.99E+05;7.86E+05;7.05E+05;6.22E+05;5.14E+05
GP04_LBPA;SUM;6.65E+07;4.18E+07;5.77E+07;5.49E+07;5.82E+07;5.59E+07;3.69E+07;3.30E+07;5.76E+07;7.07E+07;9.54E+07;1.05E+08;8.83E+05;1.52E+06
GP04_PG;0;1.79E+06;4.51E+05;7.78E+05;0.00E+00;4.55E+05;4.44E+05;5.47E+06;4.36E+06;1.05E+07;1.67E+06;2.96E+06;2.69E+06;0.00E+00;0.00E+00
GP04_PG;1;8.37E+07;6.21E+07;7.09E+07;7.68E+07;8.11E+07;7.93E+07;6.61E+07;6.02E+07;1.02E+08;6.16E+07;9.31E+07;8.81E+07;1.26E+06;4.53E+05
GP04_PG;2;8.55E+06;5.25E+06;7.09E+06;4.88E+06;6.70E+06;5.22E+06;9.02E+06;7.58E+06;1.31E+07;8.68E+06;1.40E+07;1.26E+07;0.00E+00;0.00E+00
GP04_PG;3;8.74E+05;0.00E+00;0.00E+00;0.00E+00;5.44E+05;0.00E+00;0.00E+00;4.51E+05;6.02E+05;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00
GP04_PG;4;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;1.10E+05
GP04_PG;5;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;3.03E+05;0.00E+00;8.75E+05;0.00E+00;0.00E+00
GP04_PG;6;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;1.86E+05;2.05E+05;2.98E+05;0.00E+00;0.00E+00
GP04_PG;7;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;2.62E+05;3.40E+05;0.00E+00;3.09E+05;3.03E+05;3.91E+05;0.00E+00;2.57E+05
GP04_PG;8;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;2.40E+05;2.40E+05;2.99E+05;0.00E+00;0.00E+00
GP04_PG;SUM;9.49E+07;6.78E+07;7.88E+07;8.17E+07;8.88E+07;8.49E+07;8.08E+07;7.29E+07;1.26E+08;7.30E+07;1.11E+08;1.05E+08;1.26E+06;8.20E+05
GP06_PI;0;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;2.89E+05;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00
GP06_PI;1;7.41E+07;7.97E+07;6.36E+07;7.61E+07;8.56E+07;8.24E+07;1.24E+08;1.13E+08;1.13E+08;7.14E+07;9.29E+07;8.60E+07;0.00E+00;3.51E+07
GP06_PI;2;1.54E+08;1.37E+08;1.53E+08;1.13E+08;1.38E+08;1.36E+08;1.68E+08;1.63E+08;1.57E+08;1.72E+08;2.07E+08;1.96E+08;0.00E+00;0.00E+00
GP06_PI;3;1.48E+08;1.33E+08;1.52E+08;1.64E+08;1.93E+08;2.01E+08;1.35E+08;1.34E+08;1.31E+08;1.12E+08;1.37E+08;1.21E+08;0.00E+00;0.00E+00
GP06_PI;4;6.37E+07;5.73E+07;6.28E+07;6.89E+07;7.43E+07;7.68E+07;4.99E+07;5.21E+07;5.60E+07;2.59E+07;3.03E+07;3.10E+07;0.00E+00;0.00E+00
