Class	Lipid	Occurence	m/z	RTmin	RTmax	01pcDNA	02pcDNA	03pcDNA	04Creb3L1ACAoverex	05Creb3L1ACAoverex	06Creb3L1ACAoverex	07Scram	08Scram	09Scram	10siCreb3L1	11siCreb3L1	12siCreb3L1	BlankCal25	BlankCal5
GP01_PC	1020054_36:4	H 2	768.59015	4.78	4.83	62807679.25	49001823.875	0	0	0	0	6067324.0	8297918.5	6691377.5	12365743.125	11561597.577636719	11209802.25	0	0
GP01_PC	1020054_36:4	H 3	768.59015	4.94	4.99	0	0	0	0	0	0	259513.58984375	0	0	369891.28125	0	0	0	0
GP01_PC	1020058_36:5	H 1	766.57452	4.66	4.71	139499628.5	116636722.5	116505726.75	95123595.375	81888792.125	102503410.0	20804738.1875	28851982.5	23601099.5625	41359690.125	36541601.75	35067062.625	0	0
GP01_PC	1020058_36:5	H 2	766.57452	4.82	4.87	0	0	2593259.59375	0	0	1358930.984375	0	0	0	2170827.78125	2286097.90625	1851296.5	0	0
GP01_PC	1020064_38:6	H 1	792.59015	4.59	4.7	76468923.25	62310004.5	62133193.75	42449614.8125	44814702.25	52311192.375	14992405.09375	20778443.5625	18104004.25	32385028.0	31838904.9375	33155061.6875	0	0
GP01_PC	1020066_38:5	H 1	794.60583	4.58	4.7	54207403.375	45426754.625	45945747.5	48112028.0	45628941.5	53002970.375	13798110.125	21701933.5625	15463537.4375	33188044.875	27043987.625	0	0	0
GP01_PC	1020081_37:4	H 1	782.60583	4.62	4.7	911416.369140625	0	764289.5786132812	1882944.5078125	1826865.421875	2176472.99609375	593092.671875	696758.71875	762375.154296875	0	952985.30859375	889851.890625	0	0
GP01_PC	1020099_38:1	H 1	802.6684	4.78	4.83	3911011.234375	3053453.96875	2739791.17578125	5662723.75	4499138.453125	5642855.15625	2207085.24609375	3129075.9921875	2216215.13671875	3884299.09375	4592357.3359375	3562366.328125	0	0
GP01_PC	1020100_38:4	H 1	796.62146	4.62	4.7	24988298.15625	20675236.0625	19312781.25	40002100.1875	40717390.5	47855907.125	11688779.765625	15593601.78125	13028083.59375	21224511.25	19195006.9375	19725080.5	0	0
GP01_PC	1020107_40:5	H 1	822.63708	4.53	4.62	0	0	0	13117432.859375	12088515.375	14746792.5	1197281.388671875	0	0	0	0	0	0	0
GP01_PC	1020107_40:5	H 2	822.63708	4.69	4.78	0	0	11052819.890625	0	0	0	2778003.53125	3433686.8125	3551123.125	7679780.96484375	6373135.71875	6212195.65625	0	0
GP01_PC	1020110_40:6	H 1	820.62146	4.62	4.75	38441024.875	29945110.625	29903462.0	17877688.125	17038879.125	19746738.0625	7685895.1875	11075983.28125	8528369.640625	15279592.15625	16052060.40625	15148753.234375	0	0
GP01_PC	1020146_13:1	H 1	452.27716	4.5	4.54	0	0	0	0	0	0	0	0	0	0	551690.46875	0	0	0
GP01_PC	1020176_28:0	H 1	664.52759	5.12	5.19	0	0	0	0	0	0	341529.634765625	449603.2060546875	275443.927734375	447447.203125	687667.00390625	527252.875	0	0
GP01_PC	1020181_31:1	H 1	704.55884	4.92	4.99	2976030.615234375	2787185.220703125	2410446.1875	1756887.2451171875	1441456.091796875	1688000.212890625	1211086.6005859375	1467536.30859375	1343997.2099609375	1684691.21875	1801240.5791015625	1516128.220703125	0	0
GP01_PC	1020184_33:2	H 1	730.57452	4.82	4.87	2082899.671875	1876724.4140625	1752940.828125	2390087.1513671875	1745758.751953125	2445221.296875	1044768.828125	1511217.16796875	1115436.564453125	1655770.42578125	1979777.609375	1470243.841796875	0	0
GP01_PC	1020188_36:2	H 1	772.62146	4.71	4.84	18519255.6875	14867690.5	14592321.25	33293384.4375	29017448.6875	34197132.9375	14589231.84375	14242372.765625	16838557.875	22684718.875	0	0	0	0
GP01_PC	1020188_36:2	H 2	772.62146	4.86	4.87	0	0	0	0	0	0	0	0	0	0	0	20823958.3125	0	0
GP01_PC	1020191_38:2	H 1	800.65277	4.63	4.76	6471971.1875	7937915.359375	6384933.375	11288601.453125	15811458.46875	10891075.015625	4370892.0390625	4682890.2734375	4415486.70703125	4853060.223958333	3869659.78125	0	0	0
GP01_PC	1020191_38:2	H 2	800.65277	4.78	4.8	3703843.0625	0	0	7150891.4375	0	0	0	0	0	0	0	4933400.125	0	0
GP01_PC	1020201_35:2	H 1	758.60583	4.71	4.8	748420.1953125	426719.1611328125	603394.8232421875	0	657880.482421875	1036706.1123046875	0	0	167333.11083984375	661849.2861328125	822061.36328125	358618.41796875	0	0
GP01_PC	1020211_38:3	H 1	798.63708	4.66	4.78	11737652.96875	10552706.53125	10018906.359375	26999382.5	24575047.9375	27877473.6875	6087057.3203125	7783899.7890625	6762978.5625	11410934.375	10311061.3125	9642755.015625	0	0
GP01_PC	1020213_40:1	H 1	830.69971	4.7	4.75	475613.95361328125	347512.13232421875	380865.6552734375	0	665990.5703125	772298.779296875	0	349719.18359375	284913.796875	421045.75390625	478800.0439453125	379638.84375	0	0
GP01_PC	1020214_40:2	H 1	828.68408	4.59	4.73	1827688.064453125	1603558.830078125	1371986.61328125	0	3338435.09375	2299467.4283854165	1165316.296875	0	0	1758882.25	2185562.296875	0	0	0
GP01_PC	1020214_40:2	H 2	828.68408	4.74	4.76	0	0	0	0	0	0	0	1357558.375	1289781.2890625	0	0	1720735.9453125	0	0
GP01_PC	1020215_40:4	H 1	824.65277	4.59	4.7	6624418.453125	5556568.1640625	5732856.578125	13411418.1875	13579828.875	15541424.65625	3349147.109375	4625610.5	3701373.15625	6333025.6875	6095971.5625	6291137.28125	0	0
GP01_PC	1020237_40:3	H 1	826.6684	4.58	4.71	0	1751963.265625	2025587.5494791667	4092848.9375	7261124.40625	4476455.4296875	1723077.1953125	2813917.46875	0	3312861.65234375	0	0	0	0
GP01_PC	1020237_40:3	H 2	826.6684	4.73	4.76	1886893.09375	0	0	3947566.203125	0	0	0	0	2087339.046875	0	3460079.359375	3339719.0	0	0
GP01_PC	1020243_42:4	H 1	852.68408	4.57	4.66	0	0	0	1168057.3359375	1216555.953125	1545478.27734375	0	279752.353515625	0	487744.66796875	397661.642578125	0	0	0
GP01_PC	1020244_42:6	H 1	848.65277	4.61	4.67	5103923.390625	4434508.546875	3929431.28125	1956434.0625	2925010.30859375	3361211.0625	590277.703125	921945.8359375	910202.95703125	1026493.51953125	1476959.96875	1528503.5234375	0	0
GP01_PC	1020252_42:3	H 1	854.69971	4.63	4.67	0	0	0	0	0	403938.568359375	0	0	0	0	0	0	0	0
