,CREB3L1_CA_mean,CREB3L1_CA_std,CREB3L1_CA_n,pcDNA_mean,pcDNA_std,pcDNA_n,minuslog10_pvalue,fold_change,log2_fold_change
DAG(39:2),8.962034607321703e-05,6.571115015106907e-06,3,9.294187604862198e-05,5.44744863689852e-06,3,0.26982778457436296,0.964262288253496,-0.05250246866706333
DAG(40:3),2.9761229663638288e-05,3.1465172565141657e-06,3,2.567306570654799e-05,1.4588415902365642e-06,3,0.9557044699926412,1.1592394147165526,0.2131785531901967
DAG(41:2),8.013697151013057e-05,6.666255262101144e-06,3,7.652574990691618e-05,6.032969107622162e-06,3,0.27990030291079193,1.0471896271203742,0.06652271192967926
DAG(41:3),3.4099364948508344e-05,3.3253609075215755e-06,3,2.6929254053893268e-05,4.708263978569712e-06,3,1.0110534502795196,1.2662573155671375,0.3405706039539106
DAG(42:2),7.421203566328306e-05,7.92366407602764e-06,3,7.032725968999103e-05,1.786793360592939e-05,3,0.12609952234219363,1.0552385517424747,0.07756917761689924
DAG(42:3),2.1608986579536562e-05,7.35699591590899e-06,3,3.063926994785488e-05,1.7410402717512475e-06,3,0.9691166961431942,0.7052709355122692,-0.503750507970258
DAG(43:2),5.525023857867984e-05,2.1723115916456692e-06,3,5.582205609068583e-05,1.1756909577153008e-05,3,0.027815985295886768,0.9897564233198962,-0.01485456980128547
DAG(44:2),5.942219373683438e-05,8.096550322417477e-06,3,5.490025840555317e-05,4.351229996478389e-06,3,0.3544088208197668,1.0823663760902047,0.11418892753741626
DAG(45:2),6.814889233848411e-05,7.216157488550163e-06,3,6.432456785358965e-05,2.551779265603963e-06,3,0.3608828437437184,1.059453558920117,0.08332034865005766
DAG(46:2),4.63351884231412e-05,4.441827561088165e-06,3,5.4909650350471534e-05,8.010930495987308e-06,3,0.7440945902865188,0.8438441717876155,-0.24495148617460843
DAG(46:3),2.5649174487333593e-05,2.711768668562194e-06,3,1.9813613753033115e-05,1.1258851640938088e-06,3,1.5810863756237525,1.29452278655665,0.372420360188157
DAG(47:1),1.3517662026344062e-05,1.4291599276754537e-06,3,1.2252554359620524e-05,6.962369080015953e-07,3,0.6194911172570162,1.1032525651053484,0.14176310164017472
DAG(47:2),4.7094748985240196e-05,2.3022595012873846e-06,3,4.74183614544577e-05,2.311327534181802e-06,3,0.05952082286960777,0.9931753763881463,-0.009879601398263847
DAG(47:3),2.2326464241797165e-05,3.760277733018691e-06,3,2.2751338500968073e-05,4.467574806386224e-07,3,0.06783980185750595,0.9813253071175206,-0.02719662901621361
DAG(48:2),4.80216377847739e-05,1.1747285823315199e-05,3,5.265273099739993e-05,1.6155069885436585e-06,3,0.27095690845477016,0.9120445772726448,-0.13282375532354418
DAG(48:3),2.1755675975258608e-05,1.5258567127557511e-06,3,2.2454378727105977e-05,1.275943509998127e-06,3,0.2397590213667261,0.9688834520723603,-0.045604961991975376
