Class,PCCL3Ctrl,PCCL3Ctrl,PCCL3Ctrl,PCCL3TSH0,PCCL3TSH0,PCCL3TSH0,PCCL3TSH24,PCCL3TSH24,PCCL3TSH24,PCCL3TSH48,PCCL3TSH48,PCCL3TSH48
GL02_DAG,12818192.3125,10140350.71875,14078444.875,2229914.70703125,2023700.4296875,2143224.171875,2866581.46875,3801591.25,3717869.9453125,15233455.3125,15274033.5625,15491169.75
GL02_DAG,13192751.4375,11533338.875,15297202.3125,2759287.375,2214678.859375,2626254.625,3828761.59375,4601851.7265625,4477667.78125,23329751.625,24275424.6875,21280359.25
GL02_DAG,4117950.625,3825262.0,4803878.375,775035.171875,1008762.4375,891898.8046875,1850946.5234375,1929666.9375,1772226.109375,7385083.0,7518873.125,6972704.75
GL02_DAG,7594052.3125,6937452.1875,9537995.0625,2238220.03125,2098604.96875,2342513.828125,1831343.421875,2434096.671875,2601301.4453125,7724392.03125,8742907.75,7755047.78125
GL02_DAG,12749463.1875,11780704.1875,16496090.75,3144342.6015625,2823763.8359375,2889376.47265625,2445305.0,3568919.28125,3188091.2421875,16103353.96875,19883228.625,17323515.4375
GL02_DAG,5460159.625,5346264.125,7060597.125,1870114.21875,2099135.546875,1551972.8125,1445607.03125,1520726.4375,1506836.53125,7634971.625,8349181.0,7923227.5
GL02_DAG,2259917.96875,2203148.34375,3605497.9375,887331.625,895749.1015625,904166.578125,474389.109375,803380.4453125,638884.77734375,2536837.15625,2467017.375,2574032.6875
GL02_DAG,1075844.515625,1258066.015625,1424478.2421875,408989.5859375,346446.5927734375,377718.08935546875,309472.02734375,309472.02734375,309472.02734375,691010.75,774646.1328125,708817.8359375
GL02_DAG,3103679.09375,2677675.9296875,3573596.453125,1683336.77734375,1703766.890625,1564146.8203125,1021805.27734375,1059098.4453125,1040451.861328125,2299944.890625,2405649.125,2786480.203125
GL02_DAG,5545049.484375,5438004.1875,7042401.40625,2846870.046875,2589416.828125,2942195.015625,1582221.69140625,1971827.8671875,2059137.4609375,6942277.84375,7111366.34375,7451179.5625
GL02_DAG,3903373.8125,4224768.15625,6004775.125,2627815.1796875,2366333.546875,2487841.34375,1329509.3671875,1513402.21875,1145616.515625,4662980.875,4082274.375,5197776.75
GL02_DAG,2179522.875,2256084.59375,3382342.3125,1962010.09375,1928485.421875,1796252.625,895234.234375,973797.28125,934515.7578125,1825140.15625,1677729.53125,1725898.25
GL02_DAG,1118190.0546875,1107933.609375,1787827.84375,878667.78125,676942.515625,826169.859375,308386.46875,376930.6640625,342658.56640625,739965.734375,762139.859375,652132.015625
GL02_DAG,593958.55859375,593958.55859375,593958.55859375,539530.9150390625,509536.654296875,569525.17578125,480002.578125,503270.50146484375,526538.4248046875,384665.8505859375,530146.0703125,538647.654296875
GL02_DAG,1026337.8291015624,955572.03515625,1289397.05859375,965616.966796875,891424.431640625,896252.3828125,600102.2236328125,772753.212890625,761928.19140625,748359.564453125,700199.3125,752323.837890625
GL02_DAG,1644403.375,1747448.2265625,2408318.6640625,1843187.3515625,1793537.9296875,1839936.1796875,829063.609375,1092876.09765625,1156770.3671875,1882507.6953125,2075110.078125,1786232.42578125
GL02_DAG,1437501.5390625,1665383.63671875,1893265.734375,1668384.328125,1538234.484375,1406480.771484375,631521.7734375,631521.7734375,631521.7734375,1265824.609375,1514558.34375,1587143.2421875
GL02_DAG,1132329.875,1223426.5390625,1314523.203125,1378468.59375,1488089.140625,1269638.359375,520757.8125,654052.4921875,627149.625,636954.4609375,626982.46875,766394.671875
GL02_DAG,1258805.0830078125,1178570.28125,1763002.546875,709774.1875,499407.0,778820.7734375,370291.2626953125,370291.2626953125,370291.2626953125,288954.3046875,288954.3046875,288954.3046875
GL02_DAG,509109.48046875,483385.1259765625,501127.7143554688,597171.732421875,597171.732421875,597171.732421875,508835.333984375,570404.74609375,447265.921875,499568.3671875,469802.2265625,529334.5078125
