,siCREB3L1_mean,siCREB3L1_std,siCREB3L1_n,Scramble_mean,Scramble_std,Scramble_n,minuslog10_pvalue,fold_change,log2_fold_change
DAG(44:2),5.8589793586581294e-05,9.451886102139968e-06,3,6.202310571377917e-05,6.609102556850174e-06,3,0.1983782458443475,0.9446446273902868,-0.08215640124325618
DAG(43:2),7.34626592959125e-05,1.3341270200612007e-05,3,6.979376196763885e-05,2.8350632867404256e-05,3,0.07100040787916335,1.0525676969522693,0.07391302466127649
DAG(30:2),0.0001637182919502155,1.764109894293469e-05,3,0.00014027158066405896,1.1703940673452663e-05,3,0.894406989417227,1.1671522568945012,0.22299277521706648
DAG(32:3),0.00021810871982859406,5.332248901266519e-05,3,0.00021368793623642522,1.4546719648268158e-05,3,0.04744410154547235,1.0206880354129007,0.029541986161134723
DAG(31:3),8.669220092462414e-05,2.6254961284038403e-05,3,7.437575657473436e-05,1.0468831481785424e-05,3,0.30767434523372084,1.1655975672329995,0.22106977140958103
DAG(32:1),0.00011016838289058903,9.715099211368324e-06,3,0.00011145648889474833,9.521074000581602e-06,3,0.056667504012657806,0.9884429698357383,-0.016770365663973164
DAG(24:3),6.171219222433017e-05,4.662624380845337e-06,3,4.6254558854933326e-05,3.859374865186605e-06,3,1.9400370904837223,1.334186159203812,0.4159599800325503
DAG(29:1),2.9714138166738393e-05,8.572600887261991e-06,3,3.607222463680812e-05,6.1555876496108424e-06,3,0.4489901530018315,0.8237401065754638,-0.2797388619657365
DAG(29:3),6.741847339219926e-05,5.093758727856526e-06,3,8.063736862683765e-05,6.7281980712266886e-06,3,1.2727474171150404,0.8360698586803973,-0.25830460167083696
DAG(30:2),0.00013149648079040048,9.935130729109941e-06,3,0.00014048731378978245,1.1721940953287047e-05,3,0.4339575775276847,0.9360025275105242,-0.09541566932870847
DAG(30:3),4.869665713057489e-05,6.792991566655285e-06,3,4.491194405234084e-05,3.7473501491147457e-06,3,0.3509511288814834,1.0842696337932578,0.11672356754476293
DAG(31:2),0.00010514060301509302,8.427528365582847e-06,3,0.0001118166558778118,9.329726666672556e-06,3,0.3874703236642259,0.9402946474269981,-0.08881518940241123
DAG(31:3),2.7380140576668994e-05,2.068688639996459e-06,3,4.2177674598759076e-05,1.576499060967087e-05,3,0.7392897163711515,0.6491619283694354,-0.62334970276982
DAG(32:1),2.8484407315367893e-05,2.1521207922703206e-06,3,2.0970826418872202e-05,1.749757913312243e-06,3,2.0285254221336197,1.3582873057274472,0.4417886715620637
DAG(32:3),4.072429914351559e-05,4.077844285977392e-06,3,5.89266991985532e-05,4.916709345095222e-06,3,2.1056214857866298,0.6911009728594381,-0.5330315848507828
DAG(33:1),1.3057861244076546e-05,9.865781785389756e-07,3,1.8461567693997278e-05,1.540391089959661e-06,3,2.160994444258777,0.7072996974315604,-0.4996064507396985
DAG(33:2),0.00010778800047756389,1.3087739542975331e-05,3,0.00011079902494947248,5.671414514023534e-06,3,0.1348035568451195,0.9728244497342671,-0.039748606785227965
DAG(34:2),0.00010767508310419837,2.106088785339525e-05,3,0.00011113109041674514,2.327402073335256e-05,3,0.06649040675723507,0.9689015261203087,-0.0455780494710939
DAG(34:3),3.310083675174748e-05,6.607531455521685e-06,3,3.399605808265141e-05,1.3515954064073766e-05,3,0.034858500764674324,0.9736669078300941,-0.03849978521900347
DAG(35:2),9.903446804613549e-05,1.0452724154295098e-05,3,0.00010257719949351423,8.707624355848938e-06,3,0.17048388447645113,0.9654627786206744,-0.050707454701061236
DAG(35:3),3.35301613933483e-05,2.8252201610852033e-06,3,6.13917859089127e-05,5.122390556331167e-06,3,2.9289287400020396,0.5461668999676466,-0.8725862115778746
DAG(36:2),0.00010140504019281907,1.2707826771255257e-05,3,0.0001043515349799081,1.2316979797622912e-05,3,0.10381241438551464,0.9717637619067476,-0.04132246104526532
DAG(36:3),3.136575165211616e-05,5.360966913272746e-06,3,2.6031431087103912e-05,2.172003221509285e-06,3,0.7318126478178557,1.2049184521267022,0.26893550936519944
DAG(37:2),8.724098357582934e-05,9.692325258076377e-06,3,0.00010846199611245126,1.2761308275157924e-05,3,1.0782279755117872,0.8043461000420793,-0.3141116863014847
DAG(38:1),2.1311246827447468e-05,1.6605179148195014e-06,3,3.609201729916337e-05,3.0114355827093704e-06,3,2.759715129719266,0.5904698163807395,-0.7600647810240995
DAG(38:2),8.350458804958466e-05,1.6211751131108112e-05,3,0.00010043530979142473,7.767889134060125e-06,3,0.7491704230093896,0.8314265991014483,-0.26633919131056416
