,CREB3L1_CA_mean,CREB3L1_CA_std,CREB3L1_CA_n,pcDNA_mean,pcDNA_std,pcDNA_n,minuslog10_pvalue,fold_change,log2_fold_change
DAG(29:1),2.0858510063030684e-05,2.3950902876096547e-06,3,3.412021215361697e-05,3.6073723280476545e-06,3,2.216974710455805,0.6113241608557684,-0.7099905082230389
DAG(29:3),4.51935194709041e-05,2.568068284751211e-06,3,5.702928454983369e-05,7.016208879133415e-06,3,1.286487929306212,0.792461624367965,-0.3355870216852088
DAG(30:3),4.664491469962985e-05,6.842779280607038e-06,3,4.055267025836077e-05,1.3419853976790097e-05,3,0.2821449207151041,1.1502304139889046,0.2019228905801255
DAG(31:3),3.54358145056923e-05,2.762102822285681e-06,3,3.195623821692123e-05,6.768524383667174e-06,3,0.34101043583907065,1.1088856662399202,0.1491106213589035
DAG(32:3),3.4667794647627694e-05,1.969956422494557e-06,3,4.0023938597406766e-05,6.250775882018775e-06,3,0.6385669652660652,0.866176489933799,-0.20726708008546005
DAG(33:2),8.491635604817959e-05,6.137708141815987e-06,3,0.00010744124317103453,1.1094732738426755e-05,3,1.4313357995232396,0.7903515776804833,-0.33943353457939657
DAG(33:3),3.581526231137522e-05,4.653464500728278e-06,3,4.7219672535576874e-05,3.0580794834552e-06,3,1.622423133657309,0.7584818019309814,-0.39881352823032123
DAG(34:2),7.523603154498038e-05,2.2986885250704145e-05,3,9.029255009340401e-05,2.8609280684188783e-06,3,0.4905027199802786,0.8332473882635028,-0.2631832045382749
DAG(34:3),3.6043991194448086e-05,2.0481571633717702e-06,3,3.66618533160668e-05,3.876088300737655e-06,3,0.08663395427905185,0.9831470025180659,-0.02452094694034787
DAG(35:1),1.75044914541054e-05,9.946720209061733e-07,3,1.9288655527200724e-05,2.0393003971017614e-06,3,0.6110818451333284,0.9075018955790201,-0.14002743829181621
DAG(35:2),8.374591724009404e-05,1.8698445977215745e-05,3,8.45342762718582e-05,1.2038396500358095e-05,3,0.02045837478268541,0.9906740902444253,-0.013517574024972737
DAG(36:2),8.22734537748843e-05,1.8635632614223288e-05,3,9.3555902242646e-05,1.2237121929184702e-05,3,0.3663048723576515,0.8794042043600883,-0.185401664912479
DAG(36:3),2.8545260313087565e-05,5.949939279143917e-06,3,3.102982238977925e-05,5.843905808855679e-06,3,0.1985521871400564,0.9199298647126622,-0.12040422033537923
DAG(37:2),7.417969477811332e-05,1.3687689938331084e-05,3,7.388625173175909e-05,7.811651894786243e-06,3,0.010631315823974054,1.0039715513979457,0.005718389568971645
DAG(38:2),8.462375355690326e-05,1.215019109337094e-06,3,8.358915116590315e-05,5.8905468259415835e-06,3,0.1075812787316448,1.01237723288931,0.0177469685005689
DAG(38:3),3.47194479045892e-05,4.943287417849324e-06,3,4.0157527541178136e-05,1.957615842740971e-06,3,0.8205508804430073,0.8645813134035046,-0.20992643995291208
DAG(38:6),2.804732508043098e-05,1.5937560706581749e-06,3,0.00010107103662268791,2.5168658019869472e-05,3,2.1301833768116403,0.27750111226360036,-1.8494345408878095
DAG(39:2),9.294187604862195e-05,5.447448636898612e-06,3,8.962034607321703e-05,6.571115015106936e-06,3,0.2698277845743576,1.0370622310774313,0.05250246866706305
DAG(40:3),2.5673065706547987e-05,1.4588415902365382e-06,3,2.9761229663638285e-05,3.146517256514152e-06,3,0.9557044699926484,0.8626345751403834,-0.21317855319019657
DAG(41:2),7.652574990691615e-05,6.032969107622248e-06,3,8.013697151013057e-05,6.6662552621011795e-06,3,0.2799003029107911,0.95493688449709,-0.06652271192967989
DAG(41:3),2.6929254053893268e-05,4.708263978569741e-06,3,3.4099364948508344e-05,3.325360907521569e-06,3,1.0110534502795157,0.7897289024167375,-0.34057060395391064
DAG(42:2),7.032725968999101e-05,1.7867933605929436e-05,3,7.421203566328304e-05,7.923664076027573e-06,3,0.1260995223421935,0.9476530196406666,-0.07756917761689927
DAG(42:3),3.0639269947854864e-05,1.7410402717512153e-06,3,2.160898657953656e-05,7.356995915908972e-06,3,0.9691166961431966,1.4178948112666176,0.5037505079702576
DAG(43:2),5.582205609068581e-05,1.1756909577152999e-05,3,5.525023857867983e-05,2.172311591645617e-06,3,0.02781598529588615,1.0103495935350881,0.014854569801285132
